cosine_similarity,length_difference,length_prediction,bert_score,rouge_score,more_comprehensive,faithfulness,informativeness_step,informativeness_chain,reasoning_alignment,repetition_step,semantic_coverage_step,missing_step,coherence_step_vs_step,perplexity_step,grammar_step,common_sense_error,redundancy,competency,model_name
0.6031720148977934,-78.69347826086957,81.65388198757763,0.17836341131248068,0.1883218388116212,0.08819875776397515,0.7448880202256233,0.7081575588232051,0.8677220445279588,0.8123238485653279,0.18680150540376472,0.926512021095488,0.6185263473980989,0.8484027376415708,0.027682940898118177,0.9530717278876111,0.8591413577040701,0.7364679283824003,Overall,Llama-2-7b-hf
0.6673885376788444,-63.13773291925466,97.20962732919254,0.05196692549205249,0.04851242370884461,0.17267080745341615,0.47713207697547655,0.44866803405608036,0.5794709224136031,0.5103677368784839,0.5264005819995026,0.6525153193094133,0.41254290823542883,0.6827531831968711,0.009348319505517465,0.622534145341303,0.6011304743082578,0.5002322374229892,Overall,llama-2-7b-chat-hf
0.02598698558531676,-158.34736024844722,2.0,0.010323824058431462,0.012273569302421553,-1.0,0.5980068946153111,0.5666554851844495,0.7712149562467445,0.5589113780106447,1.0,0.89587642313533,0.500407641734621,0.9991921079345047,9.433509828167359e-06,0.7944335341453552,0.8074662454544255,0.5589113780106447,Overall,meditron-7b
0.02598698558531676,-158.34736024844722,2.0,0.001750032689352953,0.002635267055019149,0.0,0.5980068946153111,0.5666554851844495,0.7712149562467445,0.5589113780106447,1.0,0.89587642313533,0.500407641734621,0.9991921079345047,9.433509828167359e-06,0.7944335341453552,0.8074662454544255,0.5589113780106447,Overall,medalpaca-7b
0.6620940627015387,-86.20590062111802,74.1414596273292,0.06243477208599136,0.061043650890078995,0.16211180124223604,0.715425511916706,0.6894896418775165,0.8636864699029959,0.8177712546694099,0.12243740291837947,0.9509887728666464,0.6900073348629951,0.9003840066715627,0.023407722126412664,0.9407290061360148,0.8899674434021652,0.7324783800647056,Overall,Llama-2-13b-chat-hf
0.02598698558531676,-158.34736024844722,2.0,0.0017073022971010716,0.004500281558527324,-1.0,0.5980068946153111,0.5666554851844495,0.7712149562467445,0.5589113780106447,1.0,0.89587642313533,0.500407641734621,0.9991921079345047,9.433509828167359e-06,0.7944335341453552,0.8074662454544255,0.5589113780106447,Overall,medalpaca-13b
0.5931610722317482,-70.7110248447205,89.6363354037267,0.01689430142319703,0.017186073961712046,0.15403726708074533,0.7349706772815974,0.9177762127130671,0.16004449283817485,0.457973539737785,0.8692735628311679,0.00789518872063669,0.9399450407790324,0.9192569200893115,0.7185270338109911,0.9323700410588787,0.04116866169193077,0.014227937695086087,Overall,MentaLLaMA-chat-13B
0.4785984929301053,-72.91133540372671,87.43602484472049,0.0023080547065445155,0.029211317051918543,0.018633540372670808,0.6894098578504019,0.6521369674884614,0.8300440648715995,0.7126576253814694,0.3658736250670598,0.9135834773039078,0.5678307592453895,0.7006936016099011,0.015518151639015564,0.6118762019511196,0.8173172285559949,0.6722336119625093,Overall,Asclepius-13B
0.3941799350056844,-114.73773291925465,45.60962732919255,0.04540758277824646,0.05120229286724818,0.09875776397515527,0.5465132123083823,0.5160403131353746,0.6421402771659311,0.5857949969166406,0.2430386277725515,0.7048643962199794,0.47751639245671973,0.6243041928671553,0.011149668188696222,0.6871677352700257,0.6454748047696842,0.5530669907483949,Overall,Llama-2-70b-hf
0.42058149973850306,-104.50248447204969,55.844875776397515,0.038453809173216585,0.04045729688939345,0.12111801242236025,0.585577252604376,0.558049242774661,0.7329364172335908,0.6302984950810033,0.5807928040022066,0.8244223928924541,0.5210865854170237,0.7926147064254189,0.012712179688439604,0.8246049884036434,0.7687831087906347,0.602362849403506,Overall,Llama-2-70b-chat-hf
0.46677833328252044,-95.63493788819876,64.71242236024845,0.07003038641080181,0.08221166085918506,0.10745341614906832,0.5522896678986833,0.5218250696139947,0.6524694142513185,0.5965079459995336,0.27968084092515155,0.7144880605671889,0.48029006337959834,0.6372431342210186,0.011231188455934623,0.7003032435112492,0.65723120738176,0.5640030057930173,Overall,meditron-70b
0.271685217802488,-136.516149068323,23.8194099378882,0.09930866610454771,0.09091031359258196,0.06521739130434782,0.6817697555366838,0.6501052089275092,0.83114261972394,0.7041969178668641,0.4881473834154931,0.9256824031941423,0.602919769262139,0.6797140504722701,0.009150415658577283,0.8851214379132326,0.8454897190092087,0.6590930037522943,Overall,ClinicalCamel-70B
0.6547784458313669,-66.54332298136646,93.79223602484473,0.00034364392378610423,0.00045631412655363534,0.2608695652173913,0.7150975791430197,0.685621191187761,0.8628250633739514,0.8170157652230249,0.20962087328586354,0.9510940119359251,0.6741181976147977,0.8628392286279444,0.01517156829151481,0.9514026954677766,0.8847209262888293,0.7430881252905689,Overall,med42-70b
0.7231062939911155,-18.86164596273292,141.4857142857143,0.2040434449850379,0.19454830010216867,0.33354037267080744,0.7375695778275586,0.7096762997765712,0.8763424029585367,0.8070059232471701,0.09149110766333056,0.947827016751914,0.7010894221826369,0.8433761492451097,0.016389152424235037,0.8841478266539743,0.8912886461896559,0.7348429926914042,Overall,Meta-Llama-3-8B-Instruct
0.6623246265517444,-60.98385093167702,99.35170807453416,0.014182846115320712,0.0135141559611191,0.29751552795031055,0.6992402424456035,0.6635723851954368,0.8395283408717524,0.7280892013885559,0.4805503809993786,0.9300312586753531,0.6268732588013883,0.8378495124210452,0.009024002872656844,0.897035048066282,0.8579626639518478,0.6884088415179621,Overall,Llama3-Med42-8B
0.738662516478426,-23.750465838509317,136.59689440993787,0.0013067065188603372,0.001293921658883448,0.35093167701863354,0.7192067340867359,0.6942055756159397,0.8744341760237487,0.8444355333353889,0.10923586295504027,0.9620175380713097,0.7121765453664887,0.8325436579160608,0.01748024144364781,0.9699923871494791,0.9067227589646853,0.7536423732512139,Overall,Llama3-OpenBioLLM-8B
0.6939310803592945,77.27158385093168,237.60714285714286,0.07616095406419787,0.08333508446366401,0.6267080745341614,0.7518329982361891,0.7279832908760777,0.8984783968023423,0.7700379160206823,0.07564113656585304,0.9440658794649469,0.6775336390215129,0.44616183107241597,0.019842035794695283,0.9403693163494738,0.8699407333116911,0.6772169718669253,Overall,Llama3-Med42-70B
0.7556713081861598,-31.492701863354036,128.84285714285716,0.02530309591002716,0.02384163602632643,0.48509316770186334,0.6849427978577638,0.646953514338711,0.8312327225704139,0.8406416800622174,0.6441978249083359,0.9300408382689211,0.6211252886819674,0.9519058783876858,0.011868532202634332,0.9366111056980647,0.871189719791297,0.8148006485902375,Overall,Meta-Llama-3-70B-Instruct
0.7494145869190648,-4.385093167701863,155.96226708074533,0.0,0.0,0.47267080745341616,0.7232767804756719,0.699701557324917,0.8767199181390475,0.8456692281370567,0.1094394166742,0.9604521653116832,0.7217545502758382,0.8038988241086886,0.017883720116450518,0.9715049106577135,0.9108386846739613,0.7497508180223591,Overall,Llama3-OpenBioLLM-70B
0.6623473285014816,-72.34378881987578,88.00357142857143,0.15365750111310678,0.16057928788346398,0.37763975155279506,0.7295013719768757,0.7009242827195256,0.8734184072642176,0.8308176484534445,0.1610942590009907,0.9579157728421689,0.7053471484409518,0.840526485014114,0.01672333787039594,0.9681008535242245,0.8980673731363311,0.7505082496650147,Overall,counselingQA-gpt4o
